P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6)
0.023928832359001194,0.0239436622334871,0.8803367385864258,0.02393245324508452,0.023929399340923523,0.023928914235077814
0.02282451325400495,0.022837161983219865,0.8858626279131859,0.022826071595857814,0.02282462732349584,0.022824997930235517
0.024622166796464635,0.024676078827201606,0.8768085675023172,0.024648204373001793,0.024622453798701073,0.024622528702313684
0.019528184025028386,0.01953126652597949,0.9023558942266988,0.019528102437291642,0.01952816346910722,0.01952838931589442
0.01792624359211535,0.017918876654737556,0.9104136119400966,0.017913625361759448,0.017913809284499982,0.017913833166791
0.02666202612007393,0.02667963781507329,0.8666715225857458,0.026662032100707115,0.026662717302520438,0.02666206407587927
0.026623308830062798,0.026641065906298743,0.8668612638823271,0.026623323680990598,0.02662758519804721,0.026623452502273513
0.022997512016660795,0.023047641184683918,0.8849620391547256,0.02299752632218851,0.022997567271626048,0.02299771405011511
0.019832612768255205,0.019830752520109508,0.900873596196725,0.019820679079203415,0.019821476307597532,0.019820883128109163
0.021164409840610347,0.02116648999984565,0.8941756989812936,0.021164378784970992,0.02116443069152976,0.02116459170174981
0.01725993104827178,0.01725990174268374,0.9136973953004138,0.017261256308789254,0.017261574307599427,0.017259941292241773
0.020691956851075336,0.02069681087633978,0.8965347517747384,0.020692305052443436,0.020692016237425042,0.020692159207978008
0.019080115388749774,0.019104411235743485,0.9045748362179711,0.019079324471771943,0.01908193245162918,0.019079380234134618
0.016923931329755868,0.01695121084515828,0.9153515667486831,0.01692398511910815,0.0169247391373015,0.016924566819992957
0.017626350944917185,0.017629522982279728,0.9118669722636481,0.01762576436979551,0.017625629934789316,0.01762575950457011
0.022644755440673976,0.022684120370969382,0.8867367354478357,0.02264467938515915,0.022644926294028832,0.022644783061332992
0.02735664987792388,0.02735645743855503,0.8632166756027094,0.027356669410222138,0.02735671758980112,0.027356830080788444
0.018813897803464055,0.01881668864455775,0.9059272702305634,0.01881391357336684,0.018814129552309773,0.018814100195738093
0.020650110067115236,0.020650877197623114,0.8967462009984337,0.020652285183637452,0.020650180200543714,0.02065034635264683
0.024047544289438925,0.024054788383124033,0.8797548772352918,0.02404755264640676,0.024047588652494848,0.024047648793243667
0.026494763990618484,0.026512417131871933,0.8675077928572984,0.02649476997746639,0.026495454962326286,0.026494801080418313
0.024668176306729236,0.024675451701028958,0.876651966810419,0.024668036029775086,0.024668090705699447,0.02466827844634834
0.024935811552943672,0.024939162263292257,0.8753173964327826,0.02493582465608474,0.024935858887239058,0.02493594620765766
0.01178147039767831,0.011787929835024599,0.941080065551367,0.011782829951688424,0.011785768092056685,0.011781936172184914
0.011202657040259214,0.011207218549709448,0.9439854856379946,0.011202374860001892,0.011201067914289592,0.011201195997745415
