P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8)
0.0142765060293143,0.014276492733278263,0.014278439400687366,0.014276507705922889,0.014276502008953997,0.9000625475481251,0.014276503087164416,0.014276501486553655
0.019895624997747354,0.019895623594928726,0.019897506430227554,0.019895625174755457,0.01989562457373546,0.6256191096778579,0.2550052610053351,0.01989562454541239
0.02437977942160835,0.024379771950348288,0.02442589373476069,0.024379780361128336,0.024379777161851923,0.8292954360741793,0.02437977776419237,0.024379783531930616
0.03804327741729812,0.0380432773239756,0.03807601624406368,0.038043277426160885,0.038043277387310406,0.7336642015124984,0.03804327739485698,0.038043395293835956
0.048183813270233085,0.04818381326059486,0.6626479762341577,0.04818381327145956,0.048183813267184086,0.048249017566497264,0.04818381326903043,0.04818393986084323
0.013927027230312819,0.013927003495921946,0.013946005016242552,0.01392703025051468,0.013927020012169873,0.9024918729165028,0.013927021979450597,0.013927019098884698
0.04371301553430092,0.04371301525144925,0.04381501231146914,0.36204676422053045,0.043713015446153164,0.37557301166626655,0.04371301546733306,0.04371315010249733
0.035043218407815234,0.03504321676814851,0.03506681888876039,0.03504321861470945,0.0350432179121864,0.7546738315977507,0.03504321804507004,0.03504325976555927
0.00977858387344464,0.009778557479292831,0.009778070612842669,0.009778587205653541,0.009778575899507572,0.9315504720421366,0.009778578024704901,0.009778574862417344
0.04444004177125075,0.04444004144849868,0.5516940644651859,0.04444004181431208,0.04444004166807013,0.1816656512105606,0.0444400416963976,0.04444007592572424
0.03671831271176248,0.03671830999017033,0.28961901348056757,0.03671831259820213,0.03671831160588562,0.24810925672385278,0.036718311793155954,0.2786801710964031
0.035936358008409997,0.03593635790004332,0.03594665062603223,0.03593635802214908,0.03593635797593249,0.7484351683639847,0.035936357984383015,0.03593639111906519
0.03825841577163146,0.03825841560920703,0.03840898976808219,0.03825841579213746,0.03825841572421664,0.7320404084886243,0.038258415735998266,0.03825852311010278
0.041549213557242795,0.04154921286479453,0.15940046337328062,0.04154921364226769,0.041549213347536466,0.04161371322962891,0.04154921340493557,0.5912397565803135
0.050148598143287246,0.3465538626813438,0.05023905329302718,0.0501485985176057,0.05014859724658564,0.35246348953121304,0.050148597486557214,0.05014920310038027
0.05625082274238538,0.05625082273819398,0.6062208558440118,0.05625082274281298,0.05625082274134351,0.056273958444559936,0.056250822741720816,0.056251072004971606
0.0573942185607001,0.057394218550016224,0.5982264791548347,0.057394218562301896,0.05739421855697247,0.05740800253506097,0.05739421856211476,0.05739442551799876
0.05625082274238538,0.05625082273819398,0.6062208558440118,0.05625082274281298,0.05625082274134351,0.056273958444559936,0.056250822741720816,0.056251072004971606
0.0248166123103082,0.024816611630152977,0.2844856013849763,0.024816612396333454,0.024816612104610575,0.5666147147313466,0.02481661215977406,0.024816623282497768
0.03008328756400018,0.03008328663288969,0.030099416771305492,0.030083287681297796,0.030083287283634772,0.7894008230544536,0.0300832873578645,0.030083323654553892
0.008220356414386596,0.008220338967234333,0.008663452682462195,0.008220358609815778,0.00822289818703617,0.9420118921447131,0.00822035254446463,0.008220350449887098
0.03322520402054748,0.03322520333263149,0.033274724473896206,0.0332252041185324,0.03322520381081229,0.5278074468054993,0.033225203867131584,0.2727918095709492
0.048300305632159944,0.048300305610622464,0.04843575308204464,0.048300305634515775,0.04830030562516152,0.6617619103332462,0.04830030562902538,0.04830080845322418
0.056830581277675485,0.05683058126890798,0.6021648000779415,0.05683058127881285,0.05683058127497997,0.05685148458582784,0.05683058127653134,0.05683080895932293
0.03644096372380751,0.03644096085286578,0.309408802431752,0.036440964086469255,0.036440962853476803,0.47194538578176665,0.036440963087344576,0.03644099718251742
0.036273559657634014,0.03627355928858417,0.14589646670859935,0.03627355970249334,0.03627355956263468,0.6364620992899278,0.036273559574244205,0.03627363621588249
0.3187009791587699,0.03480233050828314,0.034864559732475355,0.03480233192545089,0.0348023313974344,0.47242269611769805,0.03480233148800287,0.034802439671885455
0.0250495925616013,0.02504959033479644,0.025059366417775765,0.02504959284324857,0.0250495918883605,0.8246430719016901,0.02504959206823812,0.025049601984289273
0.02916580632590652,0.02916580463079346,0.029250864195438476,0.10826847728889374,0.029165805815769788,0.7166515997175548,0.02916580595036443,0.02916583607527887
0.05884515161402559,0.05884515153112927,0.12124447326936454,0.5254180394158537,0.0588451515875196,0.059104163043323756,0.05884515159696712,0.05885271794181631
0.020098339656955722,0.02009833926414844,0.020107384600455504,0.02009833970641066,0.020098339536797936,0.8593025704730322,0.02009833957726155,0.020098347184938074
0.025562636688690365,0.4480863635847097,0.025825179885222156,0.0255626374311471,0.025562634914968997,0.3982752605483017,0.025562635389648376,0.025562651557311477
0.009778304430167145,0.009778303816490112,0.009780442589596188,0.009779268201589269,0.009778304239508831,0.9315487682068857,0.009778304289192194,0.009778304226570583
0.013654834997276556,0.013654822265016285,0.013655185378831428,0.01365483689471835,0.013654831135209981,0.9044158265299801,0.013654832163050268,0.013654830635917202
0.057107095010165185,0.057107095000167675,0.600229094166255,0.057107095011802174,0.05710709500676967,0.057128118376807535,0.057107095007732665,0.05710731242029998
0.04421343975835847,0.044213439638111425,0.044246896442179905,0.0442134397738587,0.044213439721841316,0.690472249445203,0.04421343973360868,0.04421365548683849
0.011414120733661397,0.011414118532087132,0.011416589222216706,0.011414121009595228,0.011414120086788711,0.9200986891673302,0.01141412024488779,0.011414121003432897
0.025220951727730232,0.025220949338274113,0.31602078464266464,0.025220952028720718,0.025220951004992276,0.5326535004178573,0.025220951198227672,0.025220959641533165
0.02548853824467191,0.0254885368155832,0.025496362526861473,0.02548853842508073,0.02548853785006104,0.8215723953975105,0.025488537928110462,0.02548855281212081
0.037978653509226676,0.03797865336986826,0.03803727276734145,0.03797865352724049,0.037978653467233434,0.7340906999975889,0.0379786534877411,0.03797875987375965
0.05525011297188514,0.05525011296912981,0.6132184179261462,0.055250112972237954,0.055250112971297255,0.05528061703886455,0.055250112971270526,0.055250400179168636
0.026501049125919163,0.026501049000198826,0.026509564150929348,0.026501049140808884,0.026501049086691663,0.8144841228214056,0.026501049097094203,0.026501067576952437
0.018623787525306162,0.018623785977528926,0.01862640725672595,0.018623787777139755,0.01862378692262857,0.869630870213675,0.018623787084024006,0.0186237872429716
0.052685416136415725,0.05268541548412696,0.2350144836923853,0.4487185155605782,0.0526854159391473,0.05283943547779113,0.05268541599683082,0.0526859017127245
0.05169214614982677,0.0516921457395974,0.051719164174804745,0.05169214620162191,0.05169214602577,0.6381277427454451,0.05169214605901101,0.05169236290392307
0.05696393009740109,0.05696393008894146,0.6012230344055157,0.056963930099599346,0.056963930093799714,0.056993162273418496,0.056963930095340634,0.05696415284598353
